indeks_igre,prvi_igralec,prvi_id,drugi_igralec,drugi_id,izid,stevilo_potez,leto,kraj,odprtje_neka_stevilka,odprtje
1845759,Alan Kazhenov,156483,Nelson Strehse,156590,1-0,13,2016,World Cadets U12</a>,C26,Vienna
1845672,Gauri Menon,156387,Aneta Askaryan,156428,1-0,15,2016,World Cadets U12</a>,B23,"Sicilian, Closed"
1845559,Jana Sosovickova,156173,Shree Ayinala,155120,0-1,13,2016,World Cadets U12</a>,B73,"Sicilian, Dragon, Classical"
1845623,Mykolas Liandzbergas,156231,Migael Van Schaik,156304,0-1,13,2016,World Cadets U12</a>,C44,King's Pawn Game
1845766,Yvan Burdot,156507,Amanzhan Suraganov,156591,0-1,13,2016,World Cadets U12</a>,C10,French
1845751,G Baszczynski,156487,Beka Tsverava,156599,0-1,14,2016,World Cadets U12</a>,B08,"Pirc, Classical"
1845511,Lucian Vantuch,156028,Christopher Tombolis,156079,0-1,15,2016,World Cadets U12</a>,B32,Sicilian
1845953,Mikhail Yudin,156355,Efe Hakan Ozturk,156299,0-1,15,2016,World Cadets U12</a>,B07,Pirc
1845980,Emin Ohanyan,156366,Luka Tsulaia,156357,1-0,10,2016,World Cadets U12</a>,B30,Sicilian
1846105,George Clarkson,156516,Brunel Baron Burbach,156561,1-0,11,2016,World Cadets U12</a>,C44,King's Pawn Game
1846079,Dragos-Matei Boeru,156574,Mahammadbaghir Huseynli,156543,1-0,15,2016,World Cadets U12</a>,B50,Sicilian
1846005,Amin Tuigun,156360,A Fedyushchenko,156324,0-1,9,2016,World Cadets U12</a>,C45,Scotch Game
1846239,Meirzhan Zekenov,156134,Yijie Hou,156126,1-0,11,2016,World Cadets U12</a>,C48,Four Knights
1846419,Mikiko Yamaguchi,156477,Sirin El Anis,156439,1-0,12,2016,World Cadets U12</a>,C50,Giuoco Piano
1846461,G Baszczynski,156487,Bayar Ider,156570,1-0,14,2016,World Cadets U12</a>,A06,Reti Opening
